a,b,corr,coint_pvalue,adf_pvalue,hedge_ratio,half_life_days,significant
A020,A021,0.5381438426458498,3.821189741845535e-07,3.733645521484847e-08,0.9426099730283636,13.221459148408254,True
A000,A001,0.576803262340971,2.718282983332497e-06,2.8858966746454286e-07,0.9495432025822023,13.561264889209205,True
A010,A011,0.5834541499130844,2.204006927659469e-05,2.61460605625014e-06,0.8273364114051621,17.634667819419374,True
A003,A014,0.2812635897562857,0.09513740549021266,0.02908611645031123,0.7084965521036185,67.3183023411913,False
A016,A027,0.2832911538694306,0.0983904912645498,0.03041912218107344,-1.1342885868763921,60.12464107832261,False
A015,A024,0.29456560058379516,0.13853906189556842,0.04656725517116106,-0.11083208004544039,70.54729254647697,False
A009,A016,0.34026545056289664,0.13985105192321662,0.04711338921207416,-0.635921720334813,63.64041044626886,False
A003,A004,0.3391822842679751,0.1758134960376448,0.06301866046440417,1.0460583212964594,57.31438410369646,False
A015,A026,0.3742217647324705,0.17912400102904869,0.06454457352952561,0.19115205457585158,76.75762018148458,False
A025,A026,0.29910819355174995,0.2061437752551749,0.07735431905186803,0.3915044477123454,79.25084256420357,False
A009,A027,0.3150188127018699,0.24589416989671659,0.09786142835797423,0.8655573541426737,71.36080646640565,False
A015,A028,0.2837196499188729,0.2526006775576731,0.10144015443335785,-0.035392490320724515,85.74042977659462,False
A006,A009,0.29312711591980584,0.2638884131288116,0.10739093566608349,0.1193967185505118,88.69551534231194,False
A015,A027,0.36417796484281195,0.2704292290086765,0.11098154595396392,0.03341933643884098,90.0610679260694,False
A003,A007,0.29254582706224375,0.2710153952628973,0.11045086868199055,0.46069345511630905,105.8008805938581,False
A003,A026,0.3179076878034702,0.3014110903491527,0.12803746859444676,0.7051165920171151,99.45914447717513,False
A003,A015,0.3663488037421436,0.3100246807712668,0.13092451093575908,-0.055155639693506134,139.2769425027112,False
A015,A017,0.3065880292218382,0.31968099655947596,0.1389906175728688,0.024212327993097117,94.5512363610737,False
A003,A018,0.3712659578863566,0.32389157302456406,0.1388833397227518,0.04829064546374791,145.52930325154958,False
A004,A008,0.27601959414273475,0.33083376505245427,0.14501839368930686,0.4278564471004783,139.89838365314546,False
A015,A016,0.3772419446765772,0.34879643250746006,0.15669135954262525,0.05883951747795765,96.51893084390504,False
A018,A027,0.348972244274738,0.3498280870626098,0.15713120039756512,-0.06641253987654325,137.11150170366864,False
A015,A018,0.48697022492177017,0.35599065498386684,0.16110882727883896,0.19150826663947576,100.47478931958936,False
A008,A009,0.3022251497468597,0.3795510263618895,0.17606905224484665,0.44288914779262495,120.18621329668534,False
A018,A024,0.27871910671127237,0.3796696687327858,0.17615721396026773,0.01336093668761323,145.90461637448288,False
A004,A018,0.36240875165497466,0.39066816110812796,0.18333618304315674,-0.18733910372343973,138.09830412987316,False
A015,A023,0.2878337558605993,0.4027179938363332,0.1917476672066138,0.14111077153125434,102.72075760690994,False
A026,A029,0.27784099350298586,0.40337459028192746,0.19197550968858823,-0.6576195846073325,107.1028866558359,False
A018,A026,0.37147386104096775,0.40716691485252554,0.19456007439950218,0.10862299836265307,153.58677485894944,False
A004,A024,0.28426617091948286,0.4100897279712797,0.196604649419033,-0.40584058691590996,100.69525821247312,False
A003,A025,0.28670011163030545,0.43168686138603457,0.21161393841073767,0.7710203321754114,105.70457672745152,False
A003,A016,0.3286646284897913,0.4399375697730603,0.2169539606062787,-0.3689882758362334,114.75490375162636,False
A003,A009,0.34301535730004123,0.48169014823589423,0.24882989581728454,0.685390110176973,100.57312083053957,False
A008,A027,0.2728903866081096,0.49047045941794437,0.25568457726448884,0.3731339840516663,152.1000483020514,False
A007,A009,0.29190403542976506,0.49075780683799575,0.2558906940039889,1.0273682988884176,102.79892431012865,False
A004,A015,0.34169266372851753,0.4913940147868147,0.2563861818491644,-0.003971477678612777,166.67969868806955,False
A003,A027,0.3119645335388651,0.5085905206538718,0.26961099191014,0.4523031638198375,152.55630817854376,False
A009,A026,0.346437916619255,0.5200865486612276,0.2798007149129735,0.8262649271058345,140.67648719592307,False
A008,A015,0.3204149842482175,0.5441549440529369,0.30018376609157027,0.9227160492775709,147.1748383255628,False
A004,A016,0.3689768751288494,0.548298737292079,0.3038266844442139,-0.2391214300259113,155.7457486189347,False
A004,A026,0.35026953186898463,0.5666811464311188,0.32006009289536286,0.5021858887208513,152.39620853448446,False
A016,A023,0.2720520405735044,0.5817934049618632,0.33309497930033055,1.1590331655487685,197.80366591078214,False
A016,A017,0.27140182637993404,0.635437767725685,0.3866131602571126,0.7752944234493426,196.42131095941397,False
A004,A009,0.3688051289848035,0.6585069392088034,0.4119919191595862,0.5197543997646451,152.17516564004944,False
A007,A015,0.27987787545537435,0.6783617447958388,0.4330368954442083,1.3906173428548374,205.7871522395626,False
A009,A015,0.40171147207962465,0.6968743377185697,0.45389850861381154,0.18424150935734085,266.4866074113589,False
A004,A027,0.3425476795149558,0.7222720085473224,0.48578949498985935,0.3675413218037569,215.33555957603198,False
A009,A018,0.4155786831121881,0.7285566438189892,0.4927020886317828,0.08094959780757977,271.94420060434334,False
A009,A014,0.27587199133780504,0.7841001674620951,0.5644008240866043,0.6069784182703251,223.03571159887866,False
A007,A018,0.320571836189147,0.8238193948895802,0.6205614096673678,-0.05486092464602616,322.453289250867,False
A014,A015,0.31212140616851075,0.8246475976082278,0.6216692609209232,0.778653086200648,414.9919851739696,False
A026,A027,0.41459012505900883,0.835772689173399,0.6385870908880189,0.5289645216774852,398.57458819978524,False
A009,A025,0.27457148866828435,0.8559475704491486,0.6707515617010883,0.4083536969066292,319.44905380387496,False
A014,A018,0.32937131208437287,0.8577567401102193,0.6732784409172647,0.21021167126836338,490.104331378449,False
A026,A028,0.2743102831587407,0.8941822546667682,0.7372189297086329,0.33956885856416624,527.896700997963,False
A005,A018,0.27404143896310335,0.8995470912946124,0.7473076122927362,0.3434282157601986,300.8205454684465,False
A016,A026,0.3018818182055036,0.9476128055656334,0.8497514668788179,-0.5853364797828438,743.0939098063883,False
A017,A018,0.3278689910017956,0.9649681721335676,0.8945078218262923,0.007041302132177806,1034.733069199616,False
A027,A028,0.28699908014412845,0.9699842141205085,0.9111616165609933,-0.027262159968857433,2036.502882403252,False
A016,A018,0.458069677845606,0.9778715987874839,0.9324554642915168,0.2418441194993241,3396.029130485755,False
